"lsoa","area","chronic.condition.rate","long.term.illness.rate","income.deprivation","public.travel.sec.school","public.travel.prim.school","adults.no.qualifications.percent","urban"
"Aberffraw & Rhosneigr 1 ","Isle of Anglesey ",13.4,19,15,99,52,15.6,0
"Aberffraw & Rhosneigr 2 ","Isle of Anglesey ",12.8,19.5,13,101,32,14,0
"Amlwch Port ","Isle of Anglesey ",15.3,25.1,23,44,32,21.2,0
"Amlwch Rural ","Isle of Anglesey ",12.1,21.5,12,69,45,19.2,0
"Beaumaris ","Isle of Anglesey ",11.9,17.7,14,77,28,14,0
"Bodffordd ","Isle of Anglesey ",13.6,20.8,10,50,37,17.4,0
"Bodorgan ","Isle of Anglesey ",12.2,19.8,11,77,40,13.9,0
"Braint ","Isle of Anglesey ",12.4,18.5,7,35,25,10.3,0
"Bryngwran ","Isle of Anglesey ",14.9,22.3,16,60,33,20.1,0
"Brynteg ","Isle of Anglesey ",10.4,19.3,9,73,32,13.9,0
"Cadnant (Isle of Anglesey) ","Isle of Anglesey ",10.8,14.7,9,28,28,8.9,0
"Cefni ","Isle of Anglesey ",14.7,19.3,10,32,35,12.1,0
"Cwm Cadnant ","Isle of Anglesey ",9.7,14.5,5,65,30,8.6,0
"Cyngar ","Isle of Anglesey ",14,19.9,14,39,28,13.5,0
"Gwyngyll ","Isle of Anglesey ",15.6,17.6,7,32,24,10.3,0
"Holyhead Town ","Isle of Anglesey ",16.4,26,34,23,20,24.4,0
"Kingsland ","Isle of Anglesey ",14.1,24,26,33,23,21.9,0
"Llanbadrig ","Isle of Anglesey ",12.9,20.9,17,83,30,16.6,0
"Llanbedrgoch ","Isle of Anglesey ",12.6,20.1,10,68,31,11.9,0
"Llanddyfnan ","Isle of Anglesey ",10.4,18.6,7,101,83,10.7,0
"Llaneilian ","Isle of Anglesey ",13.4,22.9,12,90,76,16.8,0
"Llanfaethlu ","Isle of Anglesey ",12.7,22.6,14,104,70,17.4,0
"Llanfair-yn-Neubwll 1 ","Isle of Anglesey ",17,23.3,15,28,30,22.1,0
"Llanfair-yn-Neubwll 2 ","Isle of Anglesey ",13.3,21.2,13,49,32,9.7,0
"Llanfihangel Ysgeifiog ","Isle of Anglesey ",13.3,19.6,11,68,43,13.3,0
"Llangoed ","Isle of Anglesey ",12.1,19.9,14,98,40,14.9,0
"Llanidan ","Isle of Anglesey ",14.6,19,12,64,34,15.9,0
"Llannerch-y-medd ","Isle of Anglesey ",13.6,20.6,15,107,74,18,0
"London Road ","Isle of Anglesey ",16.3,25.5,28,33,25,27.7,0
"Maeshyfryd ","Isle of Anglesey ",17.3,26,28,28,23,28.4,0
"Mechell ","Isle of Anglesey ",12.6,21.7,15,134,73,17.6,0
"Moelfre ","Isle of Anglesey ",11,19.4,15,59,25,14.9,0
"Morawelon ","Isle of Anglesey ",18.7,26.3,29,43,21,34.3,0
"Parc a'r Mynydd ","Isle of Anglesey ",13.3,19.8,14,41,46,16.7,0
"Pentraeth ","Isle of Anglesey ",11.6,19.8,12,88,54,13.6,0
"Porthyfelin 1 ","Isle of Anglesey ",15.3,26.9,28,28,28,22.6,0
"Porthyfelin 2 ","Isle of Anglesey ",14.9,21.4,17,26,25,23.9,0
"Rhosyr ","Isle of Anglesey ",15.8,22.3,16,90,33,16.9,0
"Trearddur 1 ","Isle of Anglesey ",12.9,19.5,9,72,49,10.8,0
"Trearddur 2 ","Isle of Anglesey ",10.7,20.9,9,71,56,10.2,0
"Tudur ","Isle of Anglesey ",16.2,26.1,30,41,30,32.7,0
"Tysilio ","Isle of Anglesey ",13.6,17.9,11,26,23,13.4,0
"Valley 1 ","Isle of Anglesey ",14.5,21.8,20,42,24,18.7,0
"Valley 2 ","Isle of Anglesey ",12.2,17.4,6,49,36,11.5,0
"Abererch ","Gwynedd ",12,19.1,10,83,46,16.7,0
"Abermaw 1 ","Gwynedd ",13.1,21.4,15,103,31,21,0
"Abermaw 2 ","Gwynedd ",9.8,19.9,14,73,24,18,0
"Arllechwedd ","Gwynedd ",12.8,18.2,14,72,43,13,0
"Bala ","Gwynedd ",14.5,19.4,14,28,21,19.7,0
"Bethel & Cwm-y-Glo 1 ","Gwynedd ",13.6,19.4,6,38,22,12.6,0
"Bethel & Cwm-y-Glo 2 ","Gwynedd ",10.4,18.8,6,82,69,12.9,0
"Bontnewydd ","Gwynedd ",14,18.2,8,59,32,12.5,0
"Bowydd and Rhiw ","Gwynedd ",15.5,23.7,19,33,26,17.1,0
"Brithdir and Llanfachreth/Ganllwyd/Llanelltyd ","Gwynedd ",11.8,16.9,8,112,97,12.1,0
"Cadnant (Gwynedd) ","Gwynedd ",15.9,26.3,26,28,23,28.4,0
"Corris/Mawddwy ","Gwynedd ",12,18.5,11,102,63,12.4,0
"Criccieth ","Gwynedd ",11.3,17.5,12,63,24,13.5,0
"Deiniol ","Gwynedd ",14.4,20,8,31,27,11.8,0
"Deiniolen ","Gwynedd ",14,22.5,17,80,26,17.9,0
"Dewi ","Gwynedd ",16.4,17.5,15,29,20,16.1,0
"Diffwys and Maenofferen ","Gwynedd ",14.1,21.6,18,24,20,23,0
"Dolbenmaen ","Gwynedd ",13.5,18.7,12,96,80,18.2,0
"Dolgellau North ","Gwynedd ",12.1,17.8,9,60,41,14,0
"Dolgellau South ","Gwynedd ",13.9,19.5,12,24,25,17.1,0
"Dyffryn Ardudwy ","Gwynedd ",12.2,17.8,10,85,34,19,0
"Efail-newydd/Buan ","Gwynedd ",11.1,18.8,10,120,98,16.7,0
"Gerlan ","Gwynedd ",13.9,20.1,16,34,24,15.3,0
"Glyder ","Gwynedd ",11.1,17.8,10,21,23,14.1,0
"Groeslon ","Gwynedd ",12.5,17.6,9,88,29,10.6,0
"Harlech ","Gwynedd ",12.5,19.3,12,47,36,14.8,0
"Hendre (Gwynedd) ","Gwynedd ",16.2,21.9,16,25,20,19.2,0
"Hirael & Garth 1 ","Gwynedd ",10.5,18.8,10,38,21,15.7,0
"Hirael & Garth 2 ","Gwynedd ",12.2,21.9,13,38,20,15.3,0
"Llanaelhaearn ","Gwynedd ",11.8,20.5,18,100,44,19.9,0
