Timestamp,How many hours per week do you invest in studying this term (all modules)? ,How many hours of studying per week do you think would be ideal for you this term (all modules)?
2022/03/17 7:35:49 PM GMT,15,15
2022/03/17 8:39:57 PM GMT,5,40
2022/03/17 8:43:57 PM GMT,12,15
2022/03/18 8:54:06 AM GMT,15,40
2022/03/18 8:54:53 AM GMT,16,14
2022/03/18 12:09:35 PM GMT,30,37
2022/03/18 12:46:01 PM GMT,9,30
2022/03/18 3:53:24 PM GMT,35,35
2022/03/18 5:25:34 PM GMT,30,40
2022/03/19 10:38:19 AM GMT,30,37
2022/03/19 9:26:48 PM GMT,14,20
2022/03/20 10:46:50 PM GMT,4,16
